Name,Event,Description,Current Type,Current Nurturing,Date
Hazel Rainwater,Lead Pipeline Update,Status: Qualified - Nurturing: Follow up calls;2020-12-15T20:47:43.000Z,Lead,Opportunity,15/12/2020 20:47
Hazel Rainwater,Lead Pipeline Update,"Status: Qualified - Nurturing: Follow up calls, Opportunity;2020-12-15T20:47:48.000Z",Lead,Opportunity,15/12/2020 20:47
Hazel Rainwater,Deal Created,,Lead,Opportunity,15/12/2020 20:47
Michael Villicana,Lead Pipeline Update,Status: Qualified - Nurturing: Follow up calls;2020-12-15T20:47:59.000Z,Lead,Opportunity,15/12/2020 20:48
Michael Villicana,Lead Pipeline Update,"Status: Qualified - Nurturing: Follow up calls, Opportunity;2020-12-15T20:48:05.000Z",Lead,Opportunity,15/12/2020 20:48
Michael Villicana,Deal Created,,Lead,Opportunity,15/12/2020 20:48
Manuel Beckett,Lead Pipeline Update,Status:  - Nurturing: ;2020-12-15T20:51:04.000Z,Lead,Initial Engagement,15/12/2020 20:51
Manuel Beckett,Lead Pipeline Update,Status:  - Nurturing: Initial Engagement;2020-12-15T20:51:18.000Z,Lead,Initial Engagement,15/12/2020 20:51
Mary Finwall,Deal Created,,Lead,Opportunity,15/12/2020 20:52
Mary Finwall,Lead Pipeline Update,"Status: Qualified - Nurturing: Follow up calls, Opportunity;2020-12-15T20:52:08.000Z",Lead,Opportunity,15/12/2020 20:52
Douglas Barber,Deal Created,,Lead,Attended Meeting,15/12/2020 20:53
Douglas Barber,Lead Pipeline Update,"Status: Qualified - Nurturing: Call completed, Engaged, Opportunity;2020-12-15T20:53:15.000Z",Lead,Attended Meeting,15/12/2020 20:53
Shannon Dingee,Deal Created,,Paying Member,Opportunity,15/12/2020 20:53
Shannon Dingee,Lead Pipeline Update,"Status: Qualified - Nurturing: Call completed, Opportunity;2020-12-15T20:53:24.000Z",Paying Member,Opportunity,15/12/2020 20:53
Mary Saxman,Lead Pipeline Update,Status: Qualified - Nurturing: Engaged;2020-12-15T20:53:42.000Z,Lead,Opportunity,15/12/2020 20:53
Mary Saxman,Deal Created,,Lead,Opportunity,15/12/2020 20:53
Mary Saxman,Lead Pipeline Update,"Status: Qualified - Nurturing: Engaged, Opportunity;2020-12-15T20:53:49.000Z",Lead,Opportunity,15/12/2020 20:53
John Smith,Lead Pipeline Update,Status:  - Nurturing: Customer Engaged;2020-12-15T21:07:27.000Z,Paying Member,,15/12/2020 21:07
Sara Bouchard,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2020-12-15T21:07:38.000Z,Trial Member,Opportunity,15/12/2020 21:07
Sara Bouchard,Deal Created,,Trial Member,Opportunity,15/12/2020 21:07
Glenn Bryant,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2020-12-15T21:08:00.000Z,Paying Member,,15/12/2020 21:08
Glenn Bryant,Deal Created,,Paying Member,,15/12/2020 21:08
Tina Schuttler,Attended Meeting,,Former Paying Member,Attended Meeting,16/12/2020 00:04
Charles Hill,Attended Meeting,,Contributing  Member,Attended Meeting,16/12/2020 00:04
Mary Marks,Attended Meeting,,Paying Member,Attended Meeting,16/12/2020 00:04
Nellie Bacon,Attended Meeting,,Lead,Opportunity,16/12/2020 00:04
Liza Ruble,Attended Meeting,,Team,Attended Meeting,16/12/2020 00:04
Jeremy Taylor,Attended Meeting,,Lead,Attended Meeting,16/12/2020 00:04
Elizabeth Fass,Attended Meeting,,Team,,16/12/2020 00:04
Ronald Arnold,Attended Meeting,,Paying Member,,16/12/2020 00:04
Nancy Quarles,Attended Meeting,,Paying Member,Attended Meeting,16/12/2020 00:04
Tiffany Morgan,Attended Meeting,,Paying Member,,16/12/2020 00:04
Cammie Kozak,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-16T01:51:16.000Z,,,16/12/2020 01:51
Jamie Ware,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-16T04:07:19.000Z,Lead,Not an opportunity,16/12/2020 04:07
Bradley White,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-16T10:03:55.000Z,Paying Member,Opportunity,16/12/2020 10:04
Joe Ray,Lead Pipeline Update,Status: Qualified - Nurturing: Engaged;2020-12-16T10:06:36.000Z,Paying Member,Opportunity,16/12/2020 10:06
Joe Ray,Deal Created,,Paying Member,Opportunity,16/12/2020 10:08
Joe Ray,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2020-12-16T10:08:54.000Z,Paying Member,Opportunity,16/12/2020 10:08
Joe Ray,Deal Updated,,Paying Member,Opportunity,16/12/2020 10:10
Lisa Simpson,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-16T12:05:35.000Z,Lead,Not an opportunity,16/12/2020 12:05
Tina Schuttler,Lead Pipeline Update,Status: Qualified - Nurturing: Engaged;2020-12-16T13:00:19.000Z,Former Paying Member,Attended Meeting,16/12/2020 13:00
Homer Nichols,Lead Pipeline Update,Status: Qualified - Nurturing: Call completed;2020-12-16T13:01:49.000Z,Lead,Engaged,16/12/2020 13:01
Homer Nichols,Lead Pipeline Update,Status: Qualified - Nurturing: Call completed;2020-12-16T13:02:00.000Z,Lead,Engaged,16/12/2020 13:02
Terrence Hayes,Lead Pipeline Update,Status: Qualified - Nurturing: Closed Lost;2020-12-16T13:02:40.000Z,Lead,Not an opportunity,16/12/2020 13:02
Douglas Maxwell,Lead Pipeline Update,Status: Qualified - Nurturing: Closed Lost;2020-12-16T13:02:58.000Z,Not a lead,Not an opportunity,16/12/2020 13:03
Sarah Susanin,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-16T13:20:12.000Z,Lead,Confirmed Meeting Attendee,16/12/2020 13:20
Sarah Susanin,Apply to Join Meeting,,Lead,Confirmed Meeting Attendee,16/12/2020 13:25
Regina Engelhardt,Deal Updated,,Lead,Confirmed Meeting Attendee,16/12/2020 13:27
Jeff Hall,Deal Closed,,Paying Member,,16/12/2020 13:30
Jennifer Goff,Apply to Join Meeting,,Paying Member,,16/12/2020 14:12
Kerry Serge,Cancelled/No Show Meeting,,Lead,Attended Meeting,16/12/2020 14:17
David Pugh,Cancelled/No Show Meeting,,,Not an opportunity,16/12/2020 14:17
Travis Purnell,Cancelled/No Show Meeting,,Lead,Not an opportunity,16/12/2020 14:17
Julia Doney,Cancelled/No Show Meeting,,Contributing  Member,Engaged,16/12/2020 14:17
Theresa Benson,Apply to Join Meeting,,Paying Member,Opportunity,16/12/2020 14:41
Sarah Susanin,Lead Pipeline Update,Status: Qualified - Nurturing: ;2020-12-16T15:02:22.000Z,Lead,Confirmed Meeting Attendee,16/12/2020 15:02
Sarah Susanin,Lead Pipeline Update,Status: Qualified - Nurturing: Awaiting Engagement;2020-12-16T15:02:26.000Z,Lead,Confirmed Meeting Attendee,16/12/2020 15:02
Eddie Young,Apply to Join Meeting,,Paying Member,Attended Meeting,16/12/2020 16:16
Eliseo Carlson,Deal Updated,,Paying Member,Attended Meeting,16/12/2020 18:56
Mark Lee,Platform Account Created,,Lead,Not an opportunity,16/12/2020 19:34
Mark Lee,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-16T19:34:23.000Z,Lead,Not an opportunity,16/12/2020 19:34
Mary Skelton,Attended Meeting,,Lead,Opportunity,17/12/2020 00:04
Jeff Alvarado,Attended Meeting,,Paying Member,,17/12/2020 00:04
George Bobbitt,Attended Meeting,,Lead,Confirmed Meeting Attendee,17/12/2020 00:04
Clorinda Powell,Attended Meeting,,Paying Member,Attended Meeting,17/12/2020 00:04
Verna Cooper,Attended Meeting,,Lead,Confirmed Meeting Attendee,17/12/2020 00:04
Christopher Dobbins,Attended Meeting,,Not a lead,Not an opportunity,17/12/2020 00:04
Ronald Shell,Lead Pipeline Update,"Status:  - Nurturing: Customer Engaged, Opportunity;2020-12-17T09:09:32.000Z",Paying Member,Opportunity,17/12/2020 09:09
Ronald Shell,Deal Created,,Paying Member,Opportunity,17/12/2020 09:09
Judith Dobson,Deal Created,,,,17/12/2020 09:12
Judith Dobson,Deal Closed,,,,17/12/2020 09:17
Joan Ingram,Apply to Join Meeting,,Contributing  Member,,17/12/2020 11:47
Joan Ingram,Apply to Join Meeting,,Contributing  Member,,17/12/2020 11:48
David Sabo,Email,,Lead,Engaged,17/12/2020 13:27
Marcos Riojas,Lead Created,;2020-12-17T14:20:10.000Z,Not a lead,Not an opportunity,17/12/2020 14:20
Marcos Riojas,Platform Account Created,,Not a lead,Not an opportunity,17/12/2020 14:20
Marcos Riojas,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-17T14:20:11.000Z,Not a lead,Not an opportunity,17/12/2020 14:20
Sarah Susanin,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2020-12-17T15:12:10.000Z,Lead,Confirmed Meeting Attendee,17/12/2020 15:12
Deborah Hein,Lead Pipeline Update,Status:  - Nurturing: ;2020-12-17T15:21:01.000Z,,,17/12/2020 15:21
Judith Hudson,Lead Pipeline Update,Status:  - Nurturing: ;2020-12-17T15:21:41.000Z,,,17/12/2020 15:21
Cammie Kozak,Lead Pipeline Update,Status:  - Nurturing: ;2020-12-17T15:47:43.000Z,,,17/12/2020 15:47
Casey Caricofe,Lead Created,;2020-12-17T15:51:09.000Z,Lead,Opportunity,17/12/2020 15:51
Henrietta Sanders,Lead Pipeline Update,"Status:  - Nurturing: Engaged, Follow up calls;2020-12-17T15:52:20.000Z",Lead,Opportunity,17/12/2020 15:52
Henrietta Sanders,Lead Pipeline Update,"Status: Qualified - Nurturing: Engaged, Follow up calls;2020-12-17T15:52:24.000Z",Lead,Opportunity,17/12/2020 15:52
Bradley White,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-17T15:52:49.000Z,,,17/12/2020 15:52
Hazel Rainwater,Email,,Lead,Opportunity,17/12/2020 16:40
Sarah Susanin,Email,,Lead,Confirmed Meeting Attendee,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
Thomas Bland,Lead Created,Email Conversation;2020-12-17T16:46:00.000Z,,Awaiting Engagement,17/12/2020 16:46
Virginia Noonkester,Email,,Lead,Opportunity,17/12/2020 16:46
Virginia Noonkester,Lead Created,Email Conversation;2020-12-17T16:46:03.000Z,Lead,Opportunity,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
Thomas Bland,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-17T16:46:05.000Z,,Awaiting Engagement,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
Virginia Noonkester,Email,,Lead,Opportunity,17/12/2020 16:46
Michael Villicana,Email,,Lead,Opportunity,17/12/2020 16:46
Sarah Susanin,Email,,Lead,Confirmed Meeting Attendee,17/12/2020 16:46
Virginia Noonkester,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-17T16:46:05.000Z,Lead,Opportunity,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
John Keagle,Lead Created,Email Conversation;2020-12-17T16:46:21.000Z,Paying Member,,17/12/2020 16:46
John Keagle,Email,,Paying Member,,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
Virginia Noonkester,Email,,Lead,Opportunity,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
John Keagle,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-17T16:46:24.000Z,Paying Member,,17/12/2020 16:46
John Keagle,Email,,Paying Member,,17/12/2020 16:46
Thomas Bland,Email,,,Awaiting Engagement,17/12/2020 16:46
John Keagle,Email,,Paying Member,,17/12/2020 16:46
Virginia Noonkester,Email,,Lead,Opportunity,17/12/2020 16:46
Brian Gates,Apply to Join Meeting,,Lead,Initial Engagement,18/12/2020 08:40
Mary Carlson,Lead Created,Sales Inquiry Form;2020-12-18T09:24:14.000Z,Lead,Initial Engagement,18/12/2020 09:24
Mary Carlson,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T09:24:15.000Z,Lead,Initial Engagement,18/12/2020 09:24
Marla Morin,Lead Created,;2020-12-18T10:08:14.000Z,Not a lead,Not an opportunity,18/12/2020 10:08
Marla Morin,Platform Account Created,,Not a lead,Not an opportunity,18/12/2020 10:08
Marla Morin,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T10:08:16.000Z,Not a lead,Not an opportunity,18/12/2020 10:08
Charles Brown,Lead Created,;2020-12-18T10:49:34.000Z,,,18/12/2020 10:49
Charles Brown,Platform Account Created,,,,18/12/2020 10:49
Charles Brown,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T10:49:43.000Z,,,18/12/2020 10:49
Joan Ingram,Apply to Join Meeting,,Contributing  Member,,18/12/2020 11:02
Rebecca Zamora,Platform Account Created,,Lead,Initial Engagement,18/12/2020 11:16
Rebecca Zamora,Lead Created,;2020-12-18T11:16:27.000Z,Lead,Initial Engagement,18/12/2020 11:16
Rebecca Zamora,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T11:16:30.000Z,Lead,Initial Engagement,18/12/2020 11:16
Sarah Susanin,Email,,Lead,Confirmed Meeting Attendee,18/12/2020 11:48
John Keagle,Email,,Paying Member,,18/12/2020 11:48
John Keagle,Email,,Paying Member,,18/12/2020 11:48
Sarah Susanin,Email,,Lead,Confirmed Meeting Attendee,18/12/2020 11:48
Sarah Susanin,Apply to Join Meeting,,Lead,Confirmed Meeting Attendee,18/12/2020 11:48
Rosie Mcgowan,Lead Pipeline Update,Status: Qualified - Nurturing: Customer Engaged;2020-12-18T12:59:55.000Z,Paying Member,,18/12/2020 13:00
Elvin Boday,Lead Created,;2020-12-18T13:51:14.000Z,,,18/12/2020 13:51
Elvin Boday,Platform Account Created,,,,18/12/2020 13:51
Elvin Boday,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T13:51:20.000Z,,,18/12/2020 13:51
Clara Maedche,Platform Account Created,,Contributing  Member,Not an opportunity,18/12/2020 13:58
Clara Maedche,Lead Created,;2020-12-18T13:57:57.000Z,Contributing  Member,Not an opportunity,18/12/2020 13:58
Clara Maedche,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T13:58:00.000Z,Contributing  Member,Not an opportunity,18/12/2020 13:58
Clara Maedche,Apply to Join Meeting,,Contributing  Member,Not an opportunity,18/12/2020 14:03
Latasha Lapointe,Platform Account Created,,Lead,Confirmed Meeting Attendee,18/12/2020 14:16
Latasha Lapointe,Lead Created,;2020-12-18T14:16:46.000Z,Lead,Confirmed Meeting Attendee,18/12/2020 14:16
Latasha Lapointe,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T14:16:49.000Z,Lead,Confirmed Meeting Attendee,18/12/2020 14:16
Sheron Hernandez,Apply to Join Meeting,,Lead,Attended Meeting,18/12/2020 14:19
Latasha Lapointe,Apply to Join Meeting,,Lead,Confirmed Meeting Attendee,18/12/2020 14:23
Delbert Smith,Apply to Join Meeting,,Paying Member,,18/12/2020 14:40
Georgette Rohling,Platform Account Created,,Paying Member,,18/12/2020 15:42
Georgette Rohling,Lead Created,;2020-12-18T15:42:46.000Z,Paying Member,,18/12/2020 15:42
Georgette Rohling,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-18T15:42:49.000Z,Paying Member,,18/12/2020 15:42
Calvin Brooks,Deal Created,,,,18/12/2020 16:09
Leroy Hall,Deal Created,,Lead,Confirmed Meeting Attendee,18/12/2020 16:10
Bessie Clifford,Deal Created,,Paying Member,,18/12/2020 16:12
Bernice Kling,Lead Created,;2020-12-18T17:32:55.000Z,,,18/12/2020 17:33
Merle Clark,Lead Created,;2020-12-18T17:45:32.000Z,,,18/12/2020 17:45
Ana Moore,Lead Created,;2020-12-19T19:42:32.000Z,Lead,Initial Engagement,19/12/2020 19:42
Ana Moore,Platform Account Created,,Lead,Initial Engagement,19/12/2020 19:42
Ana Moore,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-19T19:42:35.000Z,Lead,Initial Engagement,19/12/2020 19:42
Ana Moore,Apply to Join Meeting,,Lead,Initial Engagement,19/12/2020 19:48
Frederick Watts,Platform Account Created,,Not a lead,Not an opportunity,20/12/2020 09:37
Frederick Watts,Lead Created,;2020-12-20T09:37:45.000Z,Not a lead,Not an opportunity,20/12/2020 09:37
Frederick Watts,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-20T09:37:50.000Z,Not a lead,Not an opportunity,20/12/2020 09:37
Christopher Bartley,Lead Created,;2020-12-20T14:59:44.000Z,Lead,Not an opportunity,20/12/2020 14:59
Christopher Bartley,Platform Account Created,,Lead,Not an opportunity,20/12/2020 14:59
Christopher Bartley,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-20T14:59:47.000Z,Lead,Not an opportunity,20/12/2020 14:59
Latesha Labree,Platform Account Created,,Lead,Not an opportunity,20/12/2020 15:00
Christopher Bartley,Apply to Join Meeting,,Lead,Not an opportunity,20/12/2020 15:05
Latesha Labree,Apply to Join Meeting,,Lead,Not an opportunity,20/12/2020 15:05
Naomi Roque,Platform Account Created,,Lead,Not an opportunity,20/12/2020 16:12
Naomi Roque,Lead Created,;2020-12-20T16:12:20.000Z,Lead,Not an opportunity,20/12/2020 16:12
Naomi Roque,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-20T16:12:25.000Z,Lead,Not an opportunity,20/12/2020 16:12
Rose Harris,Apply to Join Meeting,,Contributing  Member,Attended Meeting,20/12/2020 16:50
Jessica Billingsley,Platform Account Created,,Lead,Initial Engagement,21/12/2020 03:13
Jessica Billingsley,Lead Created,;2020-12-21T03:13:43.000Z,Lead,Initial Engagement,21/12/2020 03:13
Jessica Billingsley,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-21T03:13:50.000Z,Lead,Initial Engagement,21/12/2020 03:13
Jessica Billingsley,Apply to Join Meeting,,Lead,Initial Engagement,21/12/2020 03:18
Iris Doyle,Lead Created,;2020-12-21T07:30:24.000Z,Lead,Confirmed Meeting Attendee,21/12/2020 07:30
Iris Doyle,Platform Account Created,,Lead,Confirmed Meeting Attendee,21/12/2020 07:30
Iris Doyle,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-21T07:30:29.000Z,Lead,Confirmed Meeting Attendee,21/12/2020 07:30
Barbara Robson,Platform Account Created,,Not a lead,Not an opportunity,21/12/2020 08:21
Barbara Robson,Lead Created,;2020-12-21T08:21:21.000Z,Not a lead,Not an opportunity,21/12/2020 08:21
Barbara Robson,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-21T08:21:30.000Z,Not a lead,Not an opportunity,21/12/2020 08:21
Barbara Robson,Apply to Join Meeting,,Not a lead,Not an opportunity,21/12/2020 08:27
Danielle Bellefeuille,Platform Account Created,,Lead,Attended Meeting,21/12/2020 12:57
Danielle Bellefeuille,Lead Created,;2020-12-21T12:57:48.000Z,Lead,Attended Meeting,21/12/2020 12:57
Danielle Bellefeuille,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-21T12:57:50.000Z,Lead,Attended Meeting,21/12/2020 12:57
Eva Bailey,Apply to Join Meeting,,Paying Member,,21/12/2020 13:02
Ira Kannenberg,Lead Created,;2020-12-21T14:00:09.000Z,Lead,Opportunity,21/12/2020 14:00
Ira Kannenberg,Platform Account Created,,Lead,Opportunity,21/12/2020 14:00
Ira Kannenberg,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-21T14:00:13.000Z,Lead,Opportunity,21/12/2020 14:00
Ira Kannenberg,Apply to Join Meeting,,Lead,Opportunity,21/12/2020 14:05
Amy Schulte,Apply to Join Meeting,,Paying Member,Attended Meeting,21/12/2020 14:13
Robert Treffert,Lead Created,;2020-12-21T14:53:19.000Z,Not a lead,,21/12/2020 14:58
Robert Shaver,Lead Created,;2020-12-21T15:56:48.000Z,Not a lead,Not an opportunity,21/12/2020 15:56
Robert Shaver,Platform Account Created,,Not a lead,Not an opportunity,21/12/2020 15:56
Robert Shaver,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-21T15:56:52.000Z,Not a lead,Not an opportunity,21/12/2020 15:57
Ramon Crow,Platform Account Created,,Lead,Confirmed Meeting Attendee,21/12/2020 16:29
Ramon Crow,Apply to Join Meeting,,Lead,Confirmed Meeting Attendee,21/12/2020 16:34
Adeline Stephens,Lead Created,;2020-12-21T17:12:01.000Z,Lead,Initial Engagement,21/12/2020 17:12
Adeline Stephens,Platform Account Created,,Lead,Initial Engagement,21/12/2020 17:12
Adeline Stephens,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-21T17:12:03.000Z,Lead,Initial Engagement,21/12/2020 17:12
Adeline Stephens,Apply to Join Meeting,,Lead,Initial Engagement,21/12/2020 17:18
Ramon Crow,Apply to Join Meeting,,Lead,Confirmed Meeting Attendee,21/12/2020 18:09
Hazel Rainwater,Email,,Lead,Opportunity,22/12/2020 09:30
Frederick Hyden,Email,,,,22/12/2020 09:30
Frederick Hyden,Apply to Join Meeting,,,,22/12/2020 09:30
Glenn Bryant,Deal Closed,,Paying Member,,22/12/2020 10:40
Rosa Swindler,Deal Closed,,Paying Member,,22/12/2020 10:40
Cortez Neal,Apply to Join Meeting,,Team,,23/12/2020 07:09
Cortez Neal,Apply to Join Meeting,,Team,,23/12/2020 07:15
Cortez Neal,Apply to Join Meeting,,Team,,23/12/2020 07:15
Stephen Davenport,Lead Created,Sales Inquiry Form;2020-12-23T16:08:14.000Z,Lead,Attended Meeting,23/12/2020 16:08
Stephen Davenport,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-23T16:08:17.000Z,Lead,Attended Meeting,23/12/2020 16:08
Fred Dailey,Platform Account Created,,,Not an opportunity,24/12/2020 16:07
Fred Dailey,Apply to Join Meeting,,,Not an opportunity,24/12/2020 16:13
Shan Farnsworth,Platform Account Created,,Lead,Initial Engagement,24/12/2020 23:29
Shan Farnsworth,Lead Created,;2020-12-24T23:29:37.000Z,Lead,Initial Engagement,24/12/2020 23:29
Shan Farnsworth,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-24T23:29:39.000Z,Lead,Initial Engagement,24/12/2020 23:29
Shan Farnsworth,Apply to Join Meeting,,Lead,Initial Engagement,24/12/2020 23:35
Benjamin Bridges,Apply to Join Meeting,,Lead,Initial Engagement,28/12/2020 19:23
Meredith Zymowski,Lead Created,;2020-12-28T22:40:32.000Z,Lead,Not an opportunity,28/12/2020 22:40
Meredith Zymowski,Platform Account Created,,Lead,Not an opportunity,28/12/2020 22:40
Meredith Zymowski,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-28T22:40:34.000Z,Lead,Not an opportunity,28/12/2020 22:40
Meredith Zymowski,Apply to Join Meeting,,Lead,Not an opportunity,28/12/2020 22:53
Glen Sylvester,Platform Account Created,,Not a lead,Not an opportunity,28/12/2020 23:15
Glen Sylvester,Lead Created,;2020-12-28T23:15:48.000Z,Not a lead,Not an opportunity,28/12/2020 23:15
Glen Sylvester,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-28T23:15:49.000Z,Not a lead,Not an opportunity,28/12/2020 23:15
Cynthia Guzman,Platform Account Created,,Lead,Initial Engagement,29/12/2020 06:41
Cynthia Guzman,Lead Created,;2020-12-29T06:41:56.000Z,Lead,Initial Engagement,29/12/2020 06:42
Cynthia Guzman,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-29T06:41:57.000Z,Lead,Initial Engagement,29/12/2020 06:42
Ruthie Fredrick,Lead Created,;2020-12-29T21:48:41.000Z,Not a lead,Not an opportunity,29/12/2020 21:48
Ruthie Fredrick,Platform Account Created,,Not a lead,Not an opportunity,29/12/2020 21:48
Ruthie Fredrick,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-29T21:48:45.000Z,Not a lead,Not an opportunity,29/12/2020 21:48
Michael Kirk,Lead Created,;2020-12-30T02:04:23.000Z,Lead,Not an opportunity,30/12/2020 02:04
Michael Kirk,Platform Account Created,,Lead,Not an opportunity,30/12/2020 02:04
Michael Kirk,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-30T02:04:26.000Z,Lead,Not an opportunity,30/12/2020 02:04
Melody Stout,Apply to Join Meeting,,Paying Member,Attended Meeting,30/12/2020 15:24
Lewis Griffin,Platform Account Created,,Lead,Not an opportunity,30/12/2020 23:32
Lewis Griffin,Lead Created,;2020-12-30T23:32:29.000Z,Lead,Not an opportunity,30/12/2020 23:32
Lewis Griffin,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-30T23:32:31.000Z,Lead,Not an opportunity,30/12/2020 23:32
Lewis Griffin,Apply to Join Meeting,,Lead,Not an opportunity,30/12/2020 23:37
Jackson Kreisler,Platform Account Created,,Lead,Opportunity,31/12/2020 07:38
Jackson Kreisler,Lead Created,;2020-12-31T07:38:13.000Z,Lead,Opportunity,31/12/2020 07:38
Jackson Kreisler,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2020-12-31T07:38:15.000Z,Lead,Opportunity,31/12/2020 07:38
